"OyuncuID","SahneAdi","FilmID","Ad"
1,"Ferit",2,"Ah Nerede"
2,"Asya",7,"Selvi Boylum Al Yazmalım"
3,"Emel Sayın",8,"Mavi Boncuk"
4,"Şaban",4,"Süt Kardeşler"
5,"Şakir",6,"Çiçek Abbas"
6,"Adile Teyze",18,"Adile Teyze"
7,"Murat",17,"Toprak Ana"
8,"Zeliha",17,"Toprak Ana"
9,"Ali",14,"Üç Arkadaş"
10,"Melek",4,"Süt Kardeşler"
11,"Yaşar Usta",20,"Bizim Aile"
12,"Murat",19,"Dünyayı Kurtaran Adam"
13,"Çakıcı Mehmet",15,"Dokuz Dağın Efesi"
14,"Iraz",15,"Dokuz Dağın Efesi"
15,"Gül",14,"Üç Arkadaş"
16,"Kenan",14,"Üç Arkadaş"
17,"Sadiye",13,"Doktor Civanım"
18,"Sümbül",13,"Doktor Civanım"
19,"Necla",12,"Ateş Böceği"
20,"Jale",12,"Ateş Böceği"
21,"Akil",11,"Tosun Paşa"
22,"Leyla",11,"Tosun Paşa"
23,"Süleyman",8,"Mavi Boncuk"
24,"Fatma",21,"Meraklı Köfteci"
25,"Ali",21,"Meraklı Köfteci"
26,"Hacı Hüso",22,"Kibar Feyzo"
27,"Gelin",22,"Kibar Feyzo"
28,"Memo",22,"Kibar Feyzo"
29,"Zeynep",23,"Ala Geyik"
30,"Karaca Ali",23,"Ala Geyik"
31,"Zeynep",7,"Selvi Boylum Al Yazmalım"
32,"Gök Hüseyin",23,"Ala Geyik"
33,"Ayten",24,"Çil Horoz"
34,"Sıdıka",24,"Çil Horoz"
35,"Şoför Hasan",24,"Çil Horoz"
36,"Sultan",9,"Sultan"
37,"Seyyid",10,"Kapıcılar Kralı"
38,"Sultan",9,"Sultan"
39,"Seyit Ali",5,"Yol"
40,"Badi Ekrem",1,"Hababam Sınıfı"
41,"Şaban",11,"Tosun Paşa"
42,"Kemal",13,"Doktor Civanım"
43,"Damat Ferit",1,"Hababam Sınıfı"
44,"Ziya",3,"Neşeli Günler"
45,"Feyzo",22,"Kibar Feyzo"
46,"Hafize Ana",1,"Hababam Sınıfı"
47,"Yakışıklı",8,"Mavi Boncuk"
48,"Melek",20,"Bizim Aile"
49,"Ferit",20,"Bizim Aile"
50,"Maho Ağa",22,"Kibar Feyzo"
51,"Saadet",3,"Neşeli Günler"
52,"Huriye",2,"Ah Nerede"
53,"Hüsamettin",4,"Süt Kardeşler"
54,"Tellioğlu Adile",11,"Tosun Paşa"
