"FilmID","Ad","Rating","Butce","YapimYili","GiseSayısı","Afis","TurID","YonetmenID"
1,"Hababam Sınıfı","9.2","30000",1974,1,"binary data",1,3
2,"Ah Nerede","7.6","33000",1975,1,"binary data",4,12
3,"Neşeli Günler","8.7","27000",1978,1,"binary data",3,5
4,"Süt Kardeşler","8.8","28750",1976,1,"binary data",1,3
5,"Yol","8","53000",1981,1,"binary data",3,13
6,"Çiçek Abbas","8","32250",1982,1,"binary data",1,1
7,"Selvi Boylum Al Yazmalım","8.5","250000",1977,1,"binary data",2,2
8,"Mavi Boncuk","7.8","49200",1975,1,"binary data",1,3
9,"Sultan","7.5","37000",1978,1,"binary data",4,7
10,"Kapıcılar Kralı","8.4","55800",1976,1,"binary data",1,4
11,"Tosun Paşa","8.9","34000",1976,1,"binary data",1,7
12,"Ateş Böceği","8.1","51230",1975,1,"binary data",4,6
13,"Doktor Civanım","6.9","37210",1982,1,"binary data",4,7
14,"Üç Arkadaş","3.1","42200",1971,1,"binary data",4,8
15,"Dokuz Dağın Efesi","6.8","51000",1958,1,"binary data",5,9
16,"Ezo Gelin","5.7","24050",1973,1,"binary data",3,11
17,"Toprak Ana","6.7","27800",1973,1,"binary data",3,8
18,"Adile Teyze","6.3","45000",1982,1,"binary data",1,14
19,"Dünyayı Kurtaran Adam","4.4","70000",1982,1,"binary data",5,10
20,"Bizim Aile","8.4","47300",1975,1,"binary data",1,15
21,"Meraklı Köfteci","7.2","35600",1976,1,"binary data",1,15
22,"Kibar Feyzo","8.7","62000",1978,1,"binary data",1,3
23,"Ala Geyik","7.9","47800",1969,1,"binary data",3,16
24,"Çil Horoz","5.1","76000",1987,1,"binary data",3,16
