"OyuncuID","SahneAdiSoyadi","GercekAdiSoyadi","DogumTarihi","Cinsiyet"
1,"Ferit","Tarık Akan","1949-10-13","Erkek"
2,"Asya","Türkan Şoray","1945-06-28","Kadın"
3,"Emel Sayın","Emel Sayın","1945-11-20","Kadın"
4,"Şaban","Kemal Sunal","1944-11-11","Erkek"
5,"Şakir","Şener Şen","1941-12-26","Erkek"
6,"Adile Teyze","Adile Naşit","1930-06-17","Kadın"
7,"Murat","Tamer Yiğit","1942-01-01","Erkek"
8,"Zeliha","Fatma Girik","1942-12-12","Kadın"
9,"Ali","Kadir İnanır","1949-04-15","Erkek"
10,"Melek","Adile Naşit","1930-06-17","Kadın"
11,"Yaşar Usta","Münir Özkul","1925-08-15","Erkek"
12,"Murat","Cüneyt Arkın","1937-09-08","Erkek"
13,"Çakıcı Mehmet","Fikret Hakan","1934-04-23","Erkek"
14,"Iraz","Serpil Gül","1962-03-27","Kadın"
15,"Gül","Hülya Koçyiğit","1947-12-12","Kadın"
16,"Kenan","Tufan Giray","1947-09-09","Erkek"
17,"Sadiye","Ayşen Gruda","1944-08-22","Kadın"
18,"Sümbül","Bahar Öztan","1962-08-11","Kadın"
19,"Necla","Necla Nazır","1956-04-16","Kadın"
20,"Jale","Mehtap Ar","1956-04-06","Kadın"
21,"Akil","Akil Öztuna","1905-01-10","Erkek"
22,"Leyla","Müjde Ar","1954-06-21","Kadın"
23,"Süleyman","Metin Akpınar","1941-11-02","Erkek"
24,"Fatma","Gölgen Bengü","1955-01-01","Kadın"
25,"Ali","Ali Şen","1918-12-26","Erkek"
26,"Hacı Hüso","İhsan Yüce","1929-01-23","Erkek"
27,"Gelin","Sevtap Erdemli","1951-01-01","Kadın"
28,"Memo","Abdullah Ferah","1931-08-06","Erkek"
29,"Zeynep","Mine Mutlu","1948-11-28","Kadın"
30,"Karaca Ali","Bilal İnci","1936-10-29","Erkek"
31,"Zeynep","Tijen Par","1936-11-16","Kadın"
32,"Gök Hüseyin","Atıf Kaptan","1908-05-21","Erkek"
33,"Ayten","Hülya Avşar","1963-09-10","Kadın"
34,"Sıdıka","Ayla Algan","1937-10-29","Kadın"
35,"Şoför Hasan","Selçuk Özer","1954-12-02","Erkek"
36,"Sultan","Tuluğ Çizgen","1948-05-25","Kadın"
37,"Seyyid","Kemal Sunal","1944-11-11","Erkek"
38,"Sultan","Türkan Şoray","1945-06-28","Kadın"
39,"Seyit Ali","Tarık Akan","1949-10-13","Erkek"
40,"Badi Ekrem","Şener Şen","1941-12-26","Erkek"
41,"Şaban","Kemal Sunal","1944-11-11","Erkek"
42,"Kemal","Kemal Sunal","1944-11-11","Erkek"
43,"Damat Ferit","Tarık Akan","1949-10-13","Erkek"
44,"Ziya","Şener Şen","1941-12-26","Erkek"
45,"Feyzo","Kemal Sunal","1944-11-11","Erkek"
46,"Hafize Ana","Adile Naşit","1930-06-17","Kadın"
47,"Yakışıklı","Tarık Akan","1949-10-13","Erkek"
48,"Melek","Adile Naşit","1930-06-17","Kadın"
49,"Ferit","Tarık Akan","1949-10-13","Erkek"
50,"Maho Ağa","Şener Şen","1941-12-26","Erkek"
51,"Saadet","Adile Naşit","1930-06-17","Kadın"
52,"Huriye","Adile Naşit","1930-06-17","Kadın"
53,"Hüsamettin","Şener Şen","1941-12-26","Erkek"
54,"Tellioğlu Adile","Adile Naşit","1930-06-17","Kadın"
