"YonetmenID","AdiSoyadi","DogumTarihi","Cinsiyet"
1,"Sinan Çetin","1953-03-01","Erkek"
2,"Atıf Yılmaz","1925-12-09","Erkek"
3,"Ertem Eğilmez","1929-02-18","Erkek"
4,"Zeki Ökten","1941-08-04","Erkek"
5,"Orhan Aksoy","1930-01-10","Erkek"
6,"Osman F. Seden","1924-03-22","Erkek"
7,"Kartal Tibet","1939-03-27","Erkek"
8,"Memduh Ün","1920-03-14","Erkek"
9,"Metin Erksan","1929-01-01","Erkek"
10,"Çetin İnanç","1941-09-12","Erkek"
11,"Feyzi Tuna","1939-01-20","Erkek"
12,"Sırrı Gültekin","1924-07-27","Erkek"
13,"Yılmaz Güney","1937-04-01","Erkek"
14,"Alev Akakar","1949-03-04","Erkek"
15,"Ergin Orbey","1936-08-14","Erkek"
16,"Süreyya Duru","1930-08-09","Erkek"
